method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
optimize,4,32,True,hard,346,ID3,1.0,0,0.7832369942196532
disjoint,4,32,False,hard,346,ID3,1.0,0,0.4595375722543353
original,4,32,False,hard,346,ID3,1.0,0,0.4884393063583815
subsample,4,32,True,hard,346,ID3,1.0,0,0.6242774566473989
subsample,4,32,False,hard,346,ID3,1.0,0,0.2398843930635838
subsample,4,32,True,weight,346,ID3,1.0,0,0.4797687861271676
subsample,4,32,False,weight,346,ID3,1.0,0,0.2514450867052023
batch,4,32,True,weight,346,ID3,1.0,0,0.8034682080924855
batch,4,32,False,weight,346,ID3,1.0,0,0.2976878612716763
